title,company,salary,location,duration,link,date
Senior DevOps Engineer with strong Kafka,Luxoft,,Remote,Not specified,/rc/clk?jk=d246816251a775c3&bb=8cxWiQi9h9CKdcb6qQV9g_JK_75CMHBAcE49RvBE6bSbqGNOSBlgBkAC2kcKwtlx1FdQAMZ4-fN5FijZgb8cwTETjqkRC0kg52OMmSMVZLs%3D&xkcb=SoDY67M3DSdZ6KAP3r0KbzkdCdPP&fccid=4b841d912d46e4fd&vjs=3,Posted 24 days ago
DevOps Engineer,Marktine Technology Solutions,"₹10,00,000 - ₹12,00,000 a year",Remote,Not specified,/rc/clk?jk=84c1f433dc667838&bb=8cxWiQi9h9CKdcb6qQV9g7HX6lPIhbmKbDcKFDPHilm3Zh3vWQyVLJVJksSBhIxHLw14amIF7IkkLvBHwmaMU6aNBR44k-K7vuYjG2TzI_0%3D&xkcb=SoBF67M3DSdZ6KAP3r0JbzkdCdPP&fccid=4d1ce2b52f6f8920&vjs=3,Posted 30+ days ago
Senior DevOps Engineer,Uplers,,Remote,Not specified,/rc/clk?jk=d3183be62b78dce5&bb=8cxWiQi9h9CKdcb6qQV9g2NUYygya-v2gYa4s5rZUVl3AAm5LtCYKa5BFG66R0uBjEByCiYCG6rIERBdK0oHgjA-uAgbGpKxKAzxNjyyK6Q%3D&xkcb=SoDx67M3DSdZ6KAP3r0IbzkdCdPP&fccid=0e2f08d304beb5b1&cmp=Uplers&ti=Development+Operations+Engineer&vjs=3,Active 5 days ago
DevOps Engineer with GCP,iCore Pioneer Business Solution Pvt. LTD...,"₹18,565.49 - ₹60,000.00 a month",Remote,Not specified,/rc/clk?jk=61d3ab1a21e7d76e&bb=8cxWiQi9h9CKdcb6qQV9gw65Day_qq9JgO5MBS03hF1OVEyAUzOT4HAC4HenWd7534i_55CLEwUwwsg7qXIpFAsZotSVYY6N6zcowck_PRk%3D&xkcb=SoB_67M3DSdZ6KAP3r0PbzkdCdPP&fccid=fdb092b5957982ce&cmp=iCore-Pioneer-Business-Solution-Pvt.-LTD-Technopark-Trivandrum&ti=Development+Operations+Engineer&vjs=3,Posted 9 days ago
Part-time DevOps Engineer at Crypto/ Web3 Startup,Klink Finance,,Remote,Not specified,/rc/clk?jk=85cced0dc62449c5&bb=8cxWiQi9h9CKdcb6qQV9g6OB-rHWttlm6yAaFT4S2OfQz7E5d-UZX5I2wPJ_YtbCvtBI44y1HHd8r0BmjlxRiMEsQ8tIAomcAjZHi_TLDNU%3D&xkcb=SoDL67M3DSdZ6KAP3r0ObzkdCdPP&fccid=085d01ad364f492c&vjs=3,Posted 3 days ago
Senior DevOps Engineer,Cloud Software Group,,Remote,Not specified,/rc/clk?jk=6f52ba4aa5a7e4b8&bb=8cxWiQi9h9CKdcb6qQV9g2NUYygya-v2Go6PtgrxHG8Xo0ii_lLaqtfahcxCoUePnTz-15fjGox7nB2B68n7ULXUfMjQaNYbjdy3IL9HPJs%3D&xkcb=SoBW67M3DSdZ6KAP3r0NbzkdCdPP&fccid=8d205bf58f4ab95d&vjs=3,Posted 30+ days ago
Senior DevOps Engineer,SailPoint,,Remote,Not specified,/rc/clk?jk=30500d2c4e708620&bb=8cxWiQi9h9CKdcb6qQV9g2A7SBLH272EdUq9VgruPTkZLQ7pHk_QD3bc0I5GuDRvY6ca1lEXpH3N2NIqz1VCSkKLSnXaTaVoh0pfPg-bPuE%3D&xkcb=SoDi67M3DSdZ6KAP3r0MbzkdCdPP&fccid=4ecbaefe0044b519&vjs=3,Posted 2 days ago
Sr. DevOps Engineer,RecruitEForU Consulting,,Remote,Not specified,/rc/clk?jk=fbc664d501b74436&bb=8cxWiQi9h9CKdcb6qQV9g_VTjpqxvon532P_xvHzd0NzXNxnRcNhFxej_EZhZQwyJGCRLvNmQ33kFuZ_mfAVQyu58X-BaCak9NXes-qdbkA%3D&xkcb=SoAL67M3DSdZ6KAP3r0DbzkdCdPP&fccid=d7baea29c283adc6&cmp=RecruitEforu-Consulting&ti=Development+Operations+Engineer&vjs=3,Active 2 days ago
Senior Solutions Engineer - ITOps/DevOps,Splunk,"₹44,00,000 - ₹60,50,000 a year",Remote,Not specified,/rc/clk?jk=42a8493eb8675915&bb=8cxWiQi9h9CKdcb6qQV9gygd1Y9oEaX0h2Go1EjG57fu0c2t9joh78wZ2Y2FYLBIjtRAy6p8kKK_NIETsscuD2RrphI3ORW04hHbdcmuuy0%3D&xkcb=SoC_67M3DSdZ6KAP3r0CbzkdCdPP&fccid=aef928e89977f7f0&vjs=3,Posted 30+ days ago
DevOps Engineer,ZOG Global,,Remote,Not specified,/rc/clk?jk=a1c406d6e494c15d&bb=8cxWiQi9h9CKdcb6qQV9g-dj1UNCFbglZwG4HqQ4YHLYte1a1NB5O_HxwdKbycBgyCJx96tFVCNfeD5AFYs6qpDP1El7HEZLNBBq9LLb2Pg%3D&xkcb=SoAi67M3DSdZ6KAP3r0BbzkdCdPP&fccid=bbf055b1265b8e4b&vjs=3,Posted 30+ days ago
